Strike,Open,High,Low,Last,Change,Bid,Ask,Volume,Open Int,Premium,Time,Type
66.00C,0,2.16,2.16,2.16,0.05,2.21,2.25,200,444,2160,15:40 CT,Call
66.50C,0,2.01,2.01,2.01,0.05,2.07,2.1,,241,2010,15:40 CT,Call
67.00C,0,1.87,1.87,1.87,0.04,1.93,1.96,,816,1870,15:40 CT,Call
67.50C,1.71,1.74,1.71,1.74,0.03,1.8,1.83,126,287,1740,20:06 CT,Call
68.00C,0,1.63,1.63,1.63,0.04,1.67,1.71,2,685,1630,15:40 CT,Call
68.50C,0,1.51,1.51,1.51,0.03,1.56,1.59,,293,1510,15:40 CT,Call
69.00C,0,1.41,1.41,1.41,0.03,1.46,1.49,2,443,1410,15:40 CT,Call
69.50C,0,1.32,1.32,1.32,0.03,1.36,1.39,,209,1320,15:40 CT,Call
70.00C,1.4,1.4,1.23,1.4,0.2,1.27,1.3,508,3806,1400,04:50 CT,Call
70.50C,1.1,1.2,1.1,1.2,0.07,1.18,1.21,3,89,1200,21:43 CT,Call
71.00C,1.19,1.2,1.08,1.2,0.15,1.11,1.14,22,812,1200,01:34 CT,Call
71.50C,0,1.01,1.01,1.01,0.02,1.04,1.06,,134,1010,15:40 CT,Call
72.00C,0,0.94,0.94,0.94,0.02,0.97,1,,108,940,15:40 CT,Call
72.50C,0.91,0.91,0.89,0.91,0.04,0.91,0.94,2,292,910,08:45 CT,Call
73.00C,0.85,0.86,0.83,0.84,0.02,0.86,0.88,9,1226,840,11:14 CT,Call
73.50C,0.8,0.88,0.78,0.81,0.04,0.81,0.83,30,66,810,11:14 CT,Call
74.00C,0,0.74,0.74,0.74,0.02,0.76,0.78,,144,740,15:40 CT,Call
74.50C,0.72,0.78,0.7,0.78,0.1,0.72,0.74,12,15,780,07:50 CT,Call
75.00C,0.68,0.74,0.66,0.73,0.08,0.68,0.7,486,2255,730,07:56 CT,Call
75.50C,0.65,0.71,0.62,0.69,0.08,0.64,0.66,27,528,690,07:56 CT,Call
76.00C,0,0.59,0.59,0.59,0.01,0.6,0.62,,147,590,15:35 CT,Call
76.50C,0.58,0.6,0.56,0.6,0.05,0.57,0.59,6,118,600,08:12 CT,Call
77.00C,0,0.53,0.53,0.53,0.01,0.54,0.56,1,174,530,15:38 CT,Call
77.50C,0,0.51,0.51,0.51,0.01,0.52,0.54,,30,510,15:40 CT,Call
78.00C,0,0.49,0.49,0.49,0.01,0.49,0.51,,577,490,15:40 CT,Call
78.50C,0.52,0.52,0.46,0.52,0.06,0.47,0.49,5,179,520,07:12 CT,Call
79.00C,0,0.44,0.44,0.44,0,0.45,0.47,1,84,440,15:40 CT,Call
79.50C,0.44,0.44,0.42,0.44,0.02,0.43,0.45,3,353,440,20:22 CT,Call
80.00C,0,0.41,0.41,0.41,0.01,0.41,0.43,,3847,410,15:40 CT,Call
80.50C,0.41,0.41,0.39,0.41,0.02,0.4,0.41,1,146,410,20:22 CT,Call
81.00C,0.38,0.38,0.37,0.37,0,0.38,0.4,5,2562,370,12:52 CT,Call
81.50C,0.38,0.38,0.36,0.38,0.02,0.37,0.38,1,201,380,20:20 CT,Call
82.00C,0,0.35,0.35,0.35,0,0.35,0.37,1,103,350,15:40 CT,Call
82.50C,0,0.34,0.34,0.34,0,0.34,0.36,,205,340,15:40 CT,Call
83.00C,0.33,0.33,0.33,0.33,0,0.33,0.35,402,908,330,08:57 CT,Call
83.50C,0,0.32,0.32,0.32,0,0.32,0.34,,156,320,15:40 CT,Call
84.00C,0,0.31,0.31,0.31,0,0.31,0.33,4,71,310,15:40 CT,Call
84.50C,0,0.3,0.3,0.3,0,0.3,0.32,1,87,300,15:39 CT,Call
85.00C,0.29,0.29,0.29,0.29,0,0.29,0.31,36,1330,290,08:52 CT,Call
85.50C,0,0.28,0.28,0.28,0,0.28,0.3,9,1,280,15:40 CT,Call
86.00C,0,0.27,0.27,0.27,0,0.28,0.29,,263,270,15:40 CT,Call
86.50C,0,0.27,0.27,0.27,0,0.27,0.29,,31,270,15:40 CT,Call
87.00C,0.27,0.28,0.26,0.28,0.02,0.26,0.28,16,72,280,04:40 CT,Call
87.50C,0,0.25,0.25,0.25,0,0.25,0.27,,5,250,15:40 CT,Call
88.00C,0,0.25,0.25,0.25,0,0.25,0.27,,84,250,15:40 CT,Call
88.50C,0,0.24,0.24,0.24,0,0.24,0.26,,138,240,15:33 CT,Call
89.00C,0,0.24,0.24,0.24,0,0.24,0.26,,193,240,15:40 CT,Call
89.50C,0,0.23,0.23,0.23,0,0.23,0.25,,16,230,15:40 CT,Call
90.00C,0.24,0.24,0.23,0.24,0.01,0.23,0.25,7,3254,240,04:35 CT,Call
90.50C,0,0.22,0.22,0.22,0,0.22,0.24,,9,220,15:35 CT,Call
91.00C,0,0.22,0.22,0.22,0,0.22,0.24,1,191,220,15:40 CT,Call
91.50C,0,0.22,0.22,0.22,0.01,0.21,0.23,,17,220,15:40 CT,Call
92.00C,0,0.21,0.21,0.21,0,0.21,0.23,,583,210,15:39 CT,Call
92.50C,0,0.21,0.21,0.21,0.01,0.21,0.22,,337,210,15:29 CT,Call
93.00C,0,0.2,0.2,0.2,0,0.2,0.22,2,170,200,15:39 CT,Call
93.50C,0,0.2,0.2,0.2,0,0.2,0.22,,116,200,15:40 CT,Call
94.00C,0,0.2,0.2,0.2,0.01,0.19,0.21,,2,200,15:39 CT,Call
94.50C,0,0.19,0.19,0.19,0,0.19,0.21,,51,190,15:33 CT,Call
95.00C,0.19,0.19,0.19,0.19,0,0.19,0.21,1,652,190,11:17 CT,Call
95.50C,0,0.19,0.19,0.19,0.01,0.19,0.2,,14,190,15:36 CT,Call
96.00C,0,0.19,0.19,0.19,0.01,0.18,0.2,,590,190,15:40 CT,Call
96.50C,0.18,0.18,0.18,0.18,0,0.18,0.2,11,37,180,08:54 CT,Call
97.00C,0.18,0.18,0.18,0.18,0,0.18,0.19,10,14,180,11:48 CT,Call
97.50C,0,0.18,0.18,0.18,0.01,0.17,0.19,,100,180,15:40 CT,Call
98.00C,0,0.17,0.17,0.17,0,0.17,0.19,,86,170,15:33 CT,Call
98.50C,0,0.17,0.17,0.17,0,0.17,0.19,,1050,170,15:40 CT,Call
99.00C,0.18,0.18,0.17,0.18,0.01,0.17,0.18,2,107,180,06:10 CT,Call
99.50C,0,0.17,0.17,0.17,0.01,0.16,0.18,,123,170,15:40 CT,Call
100.00C,0,0.16,0.16,0.16,0,0.16,0.18,,1025,160,15:33 CT,Call
100.50C,0,0.16,0.16,0.16,0,0.16,0.18,,35,160,15:39 CT,Call
101.00C,0,0.16,0.16,0.16,0,0.16,0.17,,55,160,15:40 CT,Call
102.00C,0.15,0.16,0.15,0.15,0,0.15,0.17,1,186,150,14:12 CT,Call
102.50C,0,0.15,0.15,0.15,0,0.15,0.17,,16,150,15:33 CT,Call
103.00C,0,0.15,0.15,0.15,0,0.15,0.16,,24,150,15:40 CT,Call
103.50C,0,0.15,0.15,0.15,0,0.14,0.16,,1,150,15:39 CT,Call
105.00C,0,0.14,0.14,0.14,0,0.14,0.16,,6,140,15:33 CT,Call
106.50C,0,0.14,0.14,0.14,0,0.13,0.15,,1,140,15:33 CT,Call
107.00C,0,0.13,0.13,0.13,0,0.13,0.15,,45,130,15:38 CT,Call
107.50C,0,0.13,0.13,0.13,0,0.13,0.15,,46,130,15:40 CT,Call
108.00C,0,0.13,0.13,0.13,0,0.13,0.15,,82,130,15:33 CT,Call
109.00C,0,0.13,0.13,0.13,0,0.12,0.14,,12,130,15:37 CT,Call
110.00C,0,0.13,0.13,0.13,0,0.12,0.14,,25,130,15:32 CT,Call
110.50C,0,0.12,0.12,0.12,0,0.12,0.14,,90,120,15:39 CT,Call
111.00C,0,0.12,0.12,0.12,0,0.12,0.14,,4,120,15:37 CT,Call
113.00C,0,0.12,0.12,0.12,0,0.11,0.13,,128,120,15:39 CT,Call
113.50C,0,0.12,0.12,0.12,0,0.11,0.13,,1,120,15:39 CT,Call
114.00C,0,0.12,0.12,0.12,0.01,0.11,0.13,,111,120,15:40 CT,Call
115.00C,0,0.11,0.11,0.11,0,0.11,0.12,,1,110,15:30 CT,Call
115.50C,0,0.11,0.11,0.11,0,0.11,0.12,,9,110,15:30 CT,Call
116.00C,0,0.11,0.11,0.11,0,0.1,0.12,,25,110,15:30 CT,Call
117.00C,0,0.11,0.11,0.11,0,0.1,0.12,,2,110,15:31 CT,Call
118.00C,0.1,0.11,0.1,0.1,-0.01,0.1,0.12,10,77,100,09:49 CT,Call
119.00C,0,0.1,0.1,0.1,0,0.1,0.11,,20,100,15:32 CT,Call
119.50C,0,0.1,0.1,0.1,0,0.1,0.11,,2,100,15:30 CT,Call
120.00C,0.1,0.1,0.1,0.1,0,0.1,0.11,5,2117,100,13:03 CT,Call
120.50C,0,0.1,0.1,0.1,0,0.09,0.11,,159,100,15:30 CT,Call
122.00C,0,0.1,0.1,0.1,0,0.09,0.11,,1,100,15:31 CT,Call
122.50C,0,0.1,0.1,0.1,0,0.09,0.11,,1,100,15:39 CT,Call
123.00C,0,0.1,0.1,0.1,0,0.09,0.11,,2,100,15:34 CT,Call
123.50C,0,0.1,0.1,0.1,0,0.09,0.1,,2,100,15:30 CT,Call
124.00C,0,0.09,0.09,0.09,0,0.09,0.1,,180,90,15:30 CT,Call
124.50C,0,0.09,0.09,0.09,0,0.09,0.1,,1,90,15:30 CT,Call
125.00C,0.1,0.1,0.09,0.1,0.01,0.08,0.1,5,55,100,06:12 CT,Call
127.50C,0,0.09,0.09,0.09,0,0.08,0.1,,12,90,15:30 CT,Call
130.00C,0,0.08,0.08,0.08,-0.01,0.07,0.09,,9,80,15:31 CT,Call
132.50C,0,0.08,0.08,0.08,0,0.07,0.09,,138,80,15:30 CT,Call
135.00C,0,0.08,0.08,0.08,0,0.07,0.09,,148,80,15:31 CT,Call
140.00C,0.07,0.07,0.07,0.07,0,0.06,0.08,1,6,70,13:35 CT,Call
142.50C,0,0.07,0.07,0.07,0,0.06,0.08,,1,70,15:30 CT,Call
150.00C,0,0.06,0.06,0.06,0,0.05,0.07,,134,60,15:31 CT,Call
157.50C,0,0.05,0.05,0.05,0,0.04,0.06,,1,50,15:30 CT,Call
160.00C,0,0.05,0.05,0.05,0,0.04,0.06,,1,50,15:31 CT,Call
165.00C,0,0.05,0.05,0.05,0,0.04,0.06,,91,50,15:31 CT,Call
172.50C,0,0.04,0.04,0.04,-0.01,0.04,0.05,,1,40,15:30 CT,Call
175.00C,0,0.04,0.04,0.04,0,0.03,0.05,,58,40,15:31 CT,Call
185.00C,0,0.04,0.04,0.04,0,0.03,0.05,,2,40,15:31 CT,Call
190.00C,0,0.03,0.03,0.03,-0.01,0.03,0.04,,48,30,15:30 CT,Call
21.00P,0,0.03,0.03,0.03,-0.01,0.01,0.06,,3,30,15:33 CT,Put
22.00P,0,0.03,0.03,0.03,-0.01,0.01,0.04,,20,30,15:33 CT,Put
22.50P,0,0.03,0.03,0.03,-0.01,0.02,0.04,,1,30,15:32 CT,Put
23.00P,0,0.04,0.04,0.04,-0.01,0.02,0.06,,13,40,15:32 CT,Put
24.00P,0,0.04,0.04,0.04,-0.01,0.02,0.05,,94,40,15:32 CT,Put
24.50P,0,0.04,0.04,0.04,-0.01,0.03,0.08,,11,40,15:33 CT,Put
25.00P,0,0.04,0.04,0.04,-0.02,0.03,0.08,,1,40,15:33 CT,Put
25.50P,0,0.05,0.05,0.05,-0.01,0.03,0.08,,1,50,15:33 CT,Put
26.00P,0,0.05,0.05,0.05,-0.01,0.03,0.08,,134,50,15:33 CT,Put
26.50P,0,0.05,0.05,0.05,-0.01,0.04,0.06,,158,50,15:31 CT,Put
27.00P,0,0.06,0.06,0.06,0,0.05,0.06,,20,60,15:30 CT,Put
27.50P,0,0.06,0.06,0.06,-0.01,0.05,0.07,,20,60,15:30 CT,Put
28.00P,0.05,0.06,0.05,0.05,-0.02,0.05,0.07,10,9,50,08:30 CT,Put
28.50P,0,0.07,0.07,0.07,0,0.06,0.07,1,68,70,15:31 CT,Put
29.00P,0,0.07,0.07,0.07,-0.01,0.06,0.08,,59,70,15:31 CT,Put
30.00P,0,0.08,0.08,0.08,0,0.07,0.08,,1314,80,15:31 CT,Put
30.50P,0,0.08,0.08,0.08,-0.01,0.07,0.09,,9,80,15:30 CT,Put
31.00P,0,0.08,0.08,0.08,-0.01,0.07,0.09,,176,80,15:31 CT,Put
31.50P,0,0.09,0.09,0.09,-0.01,0.08,0.1,,35,90,15:30 CT,Put
32.00P,0,0.09,0.09,0.09,-0.01,0.08,0.1,64,21,90,15:31 CT,Put
32.50P,0,0.1,0.1,0.1,-0.01,0.09,0.1,1,2,100,15:30 CT,Put
33.00P,0.1,0.1,0.1,0.1,-0.01,0.09,0.11,1,1,100,10:43 CT,Put
34.00P,0,0.11,0.11,0.11,-0.02,0.1,0.12,,44,110,15:37 CT,Put
34.50P,0.1,0.12,0.1,0.1,-0.04,0.11,0.13,2,28,100,05:50 CT,Put
35.00P,0.12,0.12,0.12,0.12,-0.02,0.11,0.13,10,760,120,09:49 CT,Put
35.50P,0,0.13,0.13,0.13,-0.02,0.12,0.14,,149,130,15:39 CT,Put
36.00P,0,0.14,0.14,0.14,-0.02,0.13,0.15,,256,140,15:39 CT,Put
36.50P,0,0.14,0.14,0.14,-0.03,0.13,0.15,,5,140,15:33 CT,Put
37.00P,0,0.15,0.15,0.15,-0.03,0.14,0.16,,6,150,15:37 CT,Put
37.50P,0,0.16,0.16,0.16,-0.03,0.15,0.17,,3,160,15:33 CT,Put
38.00P,0,0.17,0.17,0.17,-0.03,0.16,0.18,,93,170,15:39 CT,Put
38.50P,0,0.18,0.18,0.18,-0.03,0.17,0.19,,155,180,15:33 CT,Put
39.00P,0,0.19,0.19,0.19,-0.03,0.18,0.2,,93,190,15:33 CT,Put
39.50P,0,0.2,0.2,0.2,-0.04,0.19,0.21,2,94,200,15:38 CT,Put
40.00P,0,0.21,0.21,0.21,-0.04,0.2,0.22,172,2770,210,15:34 CT,Put
40.50P,0,0.22,0.22,0.22,-0.05,0.21,0.23,,53,220,15:33 CT,Put
41.00P,0.24,0.24,0.24,0.24,-0.04,0.22,0.24,2,7,240,13:05 CT,Put
41.50P,0,0.25,0.25,0.25,-0.05,0.23,0.25,,4,250,15:39 CT,Put
42.00P,0.26,0.26,0.26,0.26,-0.05,0.25,0.27,1,276,260,09:45 CT,Put
42.50P,0,0.28,0.28,0.28,-0.05,0.26,0.28,1,65,280,15:37 CT,Put
43.00P,0,0.3,0.3,0.3,-0.05,0.28,0.3,4,3189,300,15:35 CT,Put
43.50P,0,0.31,0.31,0.31,-0.06,0.3,0.32,,51,310,15:40 CT,Put
44.00P,0,0.33,0.33,0.33,-0.07,0.31,0.34,5,599,330,15:40 CT,Put
44.50P,0,0.35,0.35,0.35,-0.07,0.33,0.36,2,196,350,15:40 CT,Put
45.00P,0.37,0.38,0.37,0.38,-0.07,0.36,0.38,11,2707,380,13:05 CT,Put
45.50P,0.37,0.4,0.37,0.37,-0.11,0.38,0.4,14,15,370,00:31 CT,Put
46.00P,0.38,0.43,0.38,0.38,-0.13,0.41,0.43,8,69,380,02:26 CT,Put
46.50P,0.42,0.46,0.42,0.42,-0.13,0.44,0.46,13,322,420,00:31 CT,Put
47.00P,0,0.49,0.49,0.49,-0.1,0.47,0.49,6,249,490,15:40 CT,Put
47.50P,0.47,0.52,0.47,0.47,-0.16,0.5,0.52,3,290,470,02:23 CT,Put
48.00P,0.5,0.58,0.5,0.58,-0.09,0.54,0.56,53,315,580,09:01 CT,Put
48.50P,0,0.6,0.6,0.6,-0.12,0.58,0.6,,94,600,15:40 CT,Put
49.00P,0,0.65,0.65,0.65,-0.13,0.62,0.64,,585,650,15:40 CT,Put
49.50P,0.64,0.7,0.64,0.64,-0.2,0.67,0.69,4,123,640,00:50 CT,Put
50.00P,0.73,0.75,0.7,0.75,-0.15,0.72,0.75,686,7903,750,13:01 CT,Put
50.50P,0,0.81,0.81,0.81,-0.16,0.78,0.8,6,89,810,15:40 CT,Put
51.00P,0,0.87,0.87,0.87,-0.17,0.84,0.86,2,186,870,15:40 CT,Put
51.50P,0,0.94,0.94,0.94,-0.18,0.91,0.93,,254,940,15:40 CT,Put
52.00P,0.9,1.01,0.9,0.9,-0.3,0.98,1,67,843,900,05:59 CT,Put
52.50P,1,1.09,1,1,-0.29,1.06,1.08,2,479,1000,01:11 CT,Put
53.00P,1.05,1.18,1.05,1.05,-0.34,1.14,1.17,7,1182,1050,07:31 CT,Put
53.50P,0,1.27,1.27,1.27,-0.22,1.23,1.26,,184,1270,15:40 CT,Put
54.00P,1.23,1.37,1.23,1.23,-0.37,1.33,1.36,5,532,1230,07:31 CT,Put
54.50P,0,1.48,1.48,1.48,-0.24,1.44,1.47,6,152,1480,15:40 CT,Put
55.00P,1.45,1.61,1.45,1.58,-0.27,1.55,1.58,32,11986,1580,13:26 CT,Put
55.50P,0,1.72,1.72,1.72,-0.26,1.67,1.7,12,314,1720,15:40 CT,Put
56.00P,2,2,1.68,1.68,-0.44,1.8,1.83,11,441,1680,05:27 CT,Put
56.50P,0,1.99,1.99,1.99,-0.28,1.94,1.97,2,832,1990,15:40 CT,Put
57.00P,0,2.14,2.14,2.14,-0.29,2.09,2.12,3,3619,2140,15:40 CT,Put
57.50P,2.34,2.34,2.3,2.34,-0.26,2.24,2.28,121,321,2340,09:05 CT,Put
58.00P,0,2.47,2.47,2.47,-0.31,2.41,2.44,62,2065,2470,15:40 CT,Put
58.50P,0,2.65,2.65,2.65,-0.32,2.58,2.62,,247,2650,15:40 CT,Put
59.00P,0,2.85,2.85,2.85,-0.31,2.77,2.8,1,113,2850,15:40 CT,Put
59.50P,0,3.05,3.05,3.05,-0.32,2.96,3,,354,3050,15:40 CT,Put
60.00P,3.03,3.26,3.03,3.17,-0.42,3.17,3.21,363,7003,3170,10:23 CT,Put
60.50P,0,3.48,3.48,3.48,-0.34,3.38,3.42,3,264,3480,15:40 CT,Put
61.00P,0,3.7,3.7,3.7,-0.36,3.61,3.65,,803,3700,15:40 CT,Put
61.50P,0,3.94,3.94,3.94,-0.37,3.85,3.89,1,463,3940,15:40 CT,Put
62.00P,0,4.19,4.19,4.19,-0.38,4.1,4.14,4,409,4190,15:40 CT,Put
62.50P,4.14,4.45,4.14,4.14,-0.7,4.36,4.4,1,1748,4140,05:08 CT,Put
63.00P,0,4.73,4.73,4.73,-0.39,4.63,4.67,,912,4730,15:40 CT,Put
63.50P,0,5.02,5.02,5.02,-0.4,4.91,4.96,,257,5020,15:40 CT,Put
64.00P,0,5.31,5.31,5.31,-0.41,5.2,5.25,31,478,5310,15:40 CT,Put
64.50P,0,5.62,5.62,5.62,-0.41,5.51,5.55,,86,5620,15:40 CT,Put
65.00P,0,5.94,5.94,5.94,-0.42,5.82,5.87,,880,5940,15:40 CT,Put
65.50P,0,6.27,6.27,6.27,-0.42,6.15,6.2,,97,6270,15:40 CT,Put
66.00P,0,6.61,6.61,6.61,-0.42,6.48,6.54,,130,6610,15:40 CT,Put
66.50P,0,6.96,6.96,6.96,-0.43,6.83,6.88,,154,6960,15:40 CT,Put
67.00P,0,7.32,7.32,7.32,-0.43,7.18,7.24,,209,7320,15:40 CT,Put
67.50P,0,7.69,7.69,7.69,-0.43,7.53,7.6,,43,7690,15:40 CT,Put
68.00P,0,8.06,8.06,8.06,-0.44,7.91,7.98,,509,8060,15:40 CT,Put
68.50P,0,8.45,8.45,8.45,-0.44,8.3,8.36,,653,8450,15:40 CT,Put
69.00P,0,8.84,8.84,8.84,-0.45,8.69,8.75,,114,8840,15:40 CT,Put
69.50P,0,9.24,9.24,9.24,-0.45,9.08,9.15,,109,9240,15:40 CT,Put
70.00P,0,9.65,9.65,9.65,-0.45,9.48,9.58,,405,9650,15:40 CT,Put
70.50P,0,10.07,10.07,10.07,-0.45,9.89,9.99,,45,10070,15:40 CT,Put
71.00P,0,10.49,10.49,10.49,-0.45,10.31,10.41,,30,10490,15:40 CT,Put
71.50P,0,10.92,10.92,10.92,-0.45,10.73,10.84,,14,10920,15:40 CT,Put
72.00P,0,11.35,11.35,11.35,-0.46,11.16,11.27,,30,11350,15:40 CT,Put
72.50P,0,11.79,11.79,11.79,-0.46,11.6,11.71,,38,11790,15:40 CT,Put
73.00P,0,12.24,12.24,12.24,-0.45,12.04,12.15,,35,12240,15:40 CT,Put
73.50P,0,12.68,12.68,12.68,-0.46,12.48,12.59,,14,12680,15:40 CT,Put
74.00P,0,13.14,13.14,13.14,-0.46,12.93,13.04,,37,13140,15:40 CT,Put
74.50P,0,13.59,13.59,13.59,-0.46,13.38,13.5,,1,13590,15:40 CT,Put
75.00P,0,14.05,14.05,14.05,-0.46,13.84,13.96,,22,14050,15:40 CT,Put
75.50P,0,14.51,14.51,14.51,-0.47,14.3,14.42,,3,14510,15:40 CT,Put
76.00P,0,14.98,14.98,14.98,-0.46,14.76,14.88,,3,14980,15:40 CT,Put
76.50P,0,15.45,15.45,15.45,-0.46,15.23,15.35,,1,15450,15:40 CT,Put
77.00P,0,15.92,15.92,15.92,-0.46,15.7,15.82,,1,15920,15:40 CT,Put
79.50P,0,18.3,18.3,18.3,-0.47,18.06,18.19,,1,18300,15:40 CT,Put
84.00P,0,22.67,22.67,22.67,-0.47,22.41,22.56,,1,22670,15:40 CT,Put
84.50P,0,23.16,23.16,23.16,-0.47,22.9,23.05,,1,23160,15:40 CT,Put
92.00P,0,30.56,30.56,30.56,-0.47,0,0,,240,30560,15:03 CT,Put
92.50P,0,31.06,31.06,31.06,-0.47,0,0,,237,31060,15:03 CT,Put
95.00P,0,33.54,33.54,33.54,-0.47,0,0,,2,33540,15:03 CT,Put
95.50P,0,34.03,34.03,34.03,-0.48,0,0,,2,34030,15:03 CT,Put
96.00P,0,34.53,34.53,34.53,-0.47,0,0,,2,34530,15:03 CT,Put
96.50P,0,35.03,35.03,35.03,-0.47,0,0,,1,35030,15:03 CT,Put
97.00P,0,35.53,35.53,35.53,-0.47,0,0,,1,35530,15:03 CT,Put
98.50P,0,37.02,37.02,37.02,-0.47,0,0,,2,37020,15:03 CT,Put
99.00P,0,37.52,37.52,37.52,-0.47,0,0,,1,37520,15:03 CT,Put
99.50P,0,38.01,38.01,38.01,-0.48,0,0,,5,38010,15:03 CT,Put
101.00P,0,39.51,39.51,39.51,-0.47,0,0,,5,39510,15:03 CT,Put
101.50P,0,40.01,40.01,40.01,-0.47,0,0,,2,40010,15:03 CT,Put
102.00P,0,40.5,40.5,40.5,-0.48,0,0,,5,40500,15:03 CT,Put
108.50P,0,46.99,46.99,46.99,-0.48,0,0,,1,46990,15:03 CT,Put
